"time","lat","lon","resnet","hour","day"
"2018-12-02 00:00:00",19.6875,-129.375,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-123.75,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-118.125,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-112.5,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-106.875,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-101.25,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-95.625,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-90,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-84.375,0.0034497694,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-78.75,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-73.125,0,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-67.5,0.020171059,"00","2018-12-02"
"2018-12-02 00:00:00",19.6875,-61.875,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-129.375,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-123.75,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-118.125,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-112.5,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-106.875,0.006813093,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-101.25,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-95.625,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-90,0.016689916,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-84.375,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-78.75,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-73.125,0.0037290592,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-67.5,0,"00","2018-12-02"
"2018-12-02 00:00:00",25.3125,-61.875,0.006204285,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-129.375,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-123.75,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-118.125,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-112.5,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-106.875,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-101.25,0,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-95.625,0.07785101,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-90,0.015148072,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-84.375,0.0057754663,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-78.75,0.16847942,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-73.125,0.036471867,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-67.5,0.0707683,"00","2018-12-02"
"2018-12-02 00:00:00",30.9375,-61.875,0.034099672,"00","2018-12-02"
"2018-12-02 00:00:00",36.5625,-129.375,0.060067046,"00","2018-12-02"
"2018-12-02 00:00:00",36.5625,-123.75,0.0004404741,"00","2018-12-02"
"2018-12-02 00:00:00",36.5625,-118.125,0.0038096856,"00","2018-12-02"
"2018-12-02 00:00:00",36.5625,-112.5,0,"00","2018-12-02"
"2018-12-02 00:00:00",36.5625,-106.875,0.0052580217,"00","2018-12-02"
